rpdzkj@95:~/fourth/loh95/testRecord$ iperf3 -s -i 60
-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.1.169, port 56888
[  5] local 192.168.1.95 port 5201 connected to 192.168.1.169 port 46409
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5] 11280.00-11340.00 sec  6.68 GBytes   956 Mbits/sec  0.017 ms  187/4950966 (0.0038%)
[  5] 11340.00-11400.00 sec  6.67 GBytes   955 Mbits/sec  0.022 ms  524/4948421 (0.011%)
[  5] 11400.00-11460.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  536/4944846 (0.011%)
[  5] 11460.00-11520.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  156/4946669 (0.0032%)
[  5] 11520.00-11580.00 sec  6.67 GBytes   955 Mbits/sec  0.022 ms  269/4944825 (0.0054%)
[  5] 11580.00-11640.00 sec  6.67 GBytes   955 Mbits/sec  0.023 ms  310/4945364 (0.0063%)
[  5] 11640.00-11700.00 sec  6.66 GBytes   954 Mbits/sec  0.027 ms  154/4942288 (0.0031%)
[  5] 11700.00-11760.00 sec  6.67 GBytes   955 Mbits/sec  0.026 ms  25/4947628 (0.00051%)
[  5] 11760.00-11820.00 sec  6.67 GBytes   955 Mbits/sec  0.025 ms  20/4946002 (0.0004%)
[  5] 11820.00-11880.00 sec  6.67 GBytes   955 Mbits/sec  0.015 ms  17/4947664 (0.00034%)
[  5] 11880.00-11940.00 sec  6.67 GBytes   955 Mbits/sec  0.019 ms  29/4947722 (0.00059%)
[  5] 11940.00-12000.00 sec  6.67 GBytes   954 Mbits/sec  0.018 ms  175/4942697 (0.0035%)
[  5] 12000.00-12060.00 sec  6.67 GBytes   954 Mbits/sec  0.026 ms  156/4943638 (0.0032%)
[  5] 12060.00-12120.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  74/4946774 (0.0015%)
[  5] 12120.00-12180.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  190/4945726 (0.0038%)
[  5] 12180.00-12240.00 sec  6.67 GBytes   954 Mbits/sec  0.017 ms  38/4943743 (0.00077%)
[  5] 12240.00-12300.00 sec  6.66 GBytes   954 Mbits/sec  0.016 ms  271/4942482 (0.0055%)
[  5] 12300.00-12360.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  47/4944978 (0.00095%)
[  5] 12360.00-12420.00 sec  6.67 GBytes   955 Mbits/sec  0.027 ms  47/4946056 (0.00095%)
[  5] 12420.00-12480.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  47/4948143 (0.00095%)
[  5] 12480.00-12540.00 sec  6.67 GBytes   956 Mbits/sec  0.026 ms  147/4949748 (0.003%)
[  5] 12540.00-12600.00 sec  6.67 GBytes   955 Mbits/sec  0.026 ms  315/4946199 (0.0064%)
[  5] 12600.00-12660.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  146/4948317 (0.003%)
[  5] 12660.00-12720.00 sec  6.67 GBytes   955 Mbits/sec  0.025 ms  164/4949060 (0.0033%)
[  5] 12720.00-12780.00 sec  6.68 GBytes   956 Mbits/sec  0.016 ms  208/4953244 (0.0042%)
[  5] 12780.00-12840.00 sec  6.68 GBytes   956 Mbits/sec  0.025 ms  338/4951826 (0.0068%)
[  5] 12840.00-12900.00 sec  6.68 GBytes   956 Mbits/sec  0.017 ms  68/4952278 (0.0014%)
[  5] 12900.00-12960.00 sec  6.68 GBytes   956 Mbits/sec  0.025 ms  48/4952934 (0.00097%)
[  5] 12960.00-13020.00 sec  6.68 GBytes   956 Mbits/sec  0.025 ms  39/4950440 (0.00079%)
[  5] 13020.00-13080.00 sec  6.68 GBytes   956 Mbits/sec  0.026 ms  60/4952996 (0.0012%)
[  5] 13080.00-13140.00 sec  6.68 GBytes   956 Mbits/sec  0.025 ms  52/4952917 (0.001%)
[  5] 13140.00-13200.00 sec  6.68 GBytes   956 Mbits/sec  0.026 ms  48/4953066 (0.00097%)
[  5] 13200.00-13260.00 sec  6.68 GBytes   956 Mbits/sec  0.021 ms  249/4951125 (0.005%)
[  5] 13260.00-13320.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  280/4946764 (0.0057%)
[  5] 13320.00-13380.00 sec  6.67 GBytes   954 Mbits/sec  0.018 ms  26/4943741 (0.00053%)
[  5] 13380.00-13440.00 sec  6.67 GBytes   955 Mbits/sec  0.025 ms  163/4945144 (0.0033%)
[  5] 13440.00-13500.00 sec  6.67 GBytes   955 Mbits/sec  0.027 ms  49/4945472 (0.00099%)
[  5] 13500.00-13560.00 sec  6.67 GBytes   955 Mbits/sec  0.015 ms  23/4946662 (0.00046%)
[  5] 13560.00-13620.00 sec  6.67 GBytes   955 Mbits/sec  0.026 ms  483/4945169 (0.0098%)
[  5] 13620.00-13680.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  422/4946529 (0.0085%)
[  5] 13680.00-13740.00 sec  6.67 GBytes   955 Mbits/sec  0.024 ms  163/4946506 (0.0033%)
[  5] 13740.00-13800.00 sec  6.67 GBytes   955 Mbits/sec  0.025 ms  270/4946220 (0.0055%)
[  5] 13800.00-13860.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  240/4946941 (0.0049%)
